property_id,description.sold_price,description.baths,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.county.name,property.sqft,property_age,basement,central_air,community_outdoor_space,community_security_features,dining_room,dishwasher,fireplace,forced_air,garage_1_or_more,garage_2_or_more,hardwood_floors,laundry_room,recreation_facilities,shopping,single_story,two_or_more_stories,washer_dryer,city_mean_sale_price
3675361295,11.652696102959753,3.0,0.0,2.0,4.0,single_family,40601,-84.881017,38.192446,Frankfort,KY,Franklin,8.898228985601227,27.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.489348436729408
5406788767,12.611541086966115,2.0,0.0,2.0,3.0,single_family,8618,-74.81045,40.241187,Trenton,NJ,Mercer,8.284251797621916,96.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,12.161837685474785
4965811153,12.506180941677357,1.0,2.0,0.0,4.0,single_family,12211,-73.784877,42.716358,Loudonville,NY,Albany,9.510815266226716,73.0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,13.044764292761727
4074533346,12.54254845357358,2.0,5.0,2.0,3.0,single_family,2905,-71.397327,41.788707,Providence,RI,Providence,8.071843149609158,95.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,13.357013834317922
1520882532,12.79358427261286,2.0,0.0,1.0,3.0,single_family,85029,-112.126512,33.59395,Phoenix,AZ,Maricopa,8.826294231241318,58.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.155831386629213
6866684449,14.46522870278996,5.0,2.0,3.0,4.0,single_family,30307,-84.332716,33.780962,Atlanta,GA,DeKalb,11.212536332042088,99.0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,13.191588795587576
7821191367,12.513561021741964,2.0,0.0,2.0,3.0,single_family,50311,-93.702898,41.6016,Des Moines,IA,Polk,9.036938912556787,84.0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,12.32388571440559
5215201622,12.765691290604371,3.0,0.0,0.0,3.0,single_family,27610,-78.548828,35.799286,Raleigh,NC,Wake,7.452402451223638,20.0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,13.24467031491859
5087432173,11.976665770490767,0.0,0.0,0.0,4.0,land,23228,-77.471974,37.599113,Henrico,VA,Henrico,8.866158492284917,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.722350017836135
9801764350,12.745488641595722,1.0,1.0,2.0,1.0,condos,95818,-121.510925,38.564545,Sacramento,CA,Sacramento,6.440946540632921,6.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,13.13856380733656
4569472599,12.296050451648405,2.0,2.0,1.0,3.0,single_family,46214,-86.280659,39.76944,Indianapolis,IN,Marion,9.632138041371906,66.0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,12.492239234278907
1371021166,12.429220196836383,1.0,0.0,1.0,2.0,single_family,89701,-119.75962,39.162228,Carson City,NV,Carson City,9.021235862885396,91.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,13.236370896291081
8983959666,12.367345048436391,1.0,0.0,0.0,2.0,condos,53704,-89.369327,43.149196,Madison,WI,Dane,7.1631723908466425,47.0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,12.829961740865684
3327428879,13.07107218827772,3.0,4.0,2.0,6.0,multi_family,2909,-71.452638,41.806428,Providence,RI,Providence,8.379539026117442,100.0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,13.357013834317922
7507880814,11.571203807011969,1.0,1.0,1.0,3.0,single_family,73110,-97.381228,35.472742,Midwest City,OK,Oklahoma,8.967249182852276,69.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,11.571203807011969
7439618807,12.779875885354993,3.0,0.0,2.0,4.0,single_family,50311,-93.646302,41.599915,Des Moines,IA,Polk,9.409027282856401,124.0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,12.32388571440559
8964294192,9.937937287265354,1.0,0.0,1.0,3.0,single_family,62704,-89.657237,39.791673,Springfield,IL,Sangamon,8.554488976159934,105.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.911952316152055
4460846595,13.049794835104816,3.0,2.0,2.0,3.0,single_family,17110,-76.863221,40.307146,Harrisburg,PA,Dauphin,9.16785032035523,30.0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,12.398328031390978
8903152276,12.691275799522568,2.0,2.0,1.0,5.0,single_family,68516,-96.658047,40.755819,Lincoln,NE,Lancaster,8.967249182852276,49.0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,12.722580218358145
3822738378,12.367345048436391,3.0,0.0,0.0,4.0,townhomes,12202,-73.760135,42.645668,Albany,NY,Albany,7.176254532017144,155.0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,12.397054572622922
