tags,description.sold_price,description.baths,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,property.sqft,property_age
"['fireplace', 'single_story', 'garage_1_or_more', 'swimming_pool', 'floor_plan']",205000.0,2.0,0.0,1.0,3.0,single_family,72210,-92.434441,34.66904,Little Rock,AR,10890.0,27.0
"['carport', 'hardwood_floors', 'single_story', 'granite_kitchen']",162000.0,2.0,0.0,1.0,3.0,single_family,72204,-92.39731,34.692718,Little Rock,AR,11761.0,68.0
"['community_outdoor_space', 'community_security_features', 'energy_efficient', 'fireplace', 'hardwood_floors', 'lake_view', 'spa_or_hot_tub', 'view', 'water_view', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'big_lot', 'efficient', 'pond']",1170000.0,5.0,3.0,3.0,4.0,single_family,72223,-92.473675,34.747145,Little Rock,AR,139828.0,7.0
"['community_outdoor_space', 'community_park', 'cul_de_sac', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'big_yard', 'groundscare', 'shopping']",225000.0,3.0,2.0,2.0,3.0,single_family,72211,-92.403051,34.731995,Little Rock,AR,10019.0,46.0
"['carport', 'hardwood_floors', 'single_story', 'modern_kitchen', 'rental_property', 'investment_opportunity']",115000.0,1.0,0.0,1.0,2.0,single_family,72204,-92.331775,34.732259,Little Rock,AR,6970.0,70.0
"['recreation_facilities', 'single_story', 'new_roof']",63000.0,2.0,3.0,1.0,4.0,single_family,72204,-92.315418,34.741559,Little Rock,AR,11761.0,85.0
"['carport', 'single_story', 'updated_kitchen', 'private_backyard']",135000.0,1.0,0.0,1.0,3.0,single_family,72204,-92.347334,34.729525,Little Rock,AR,8712.0,71.0
"['community_outdoor_space', 'corner_lot', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'rental_property', 'big_lot']",150000.0,2.0,2.0,1.0,3.0,single_family,72103,-92.368536,34.645979,Mabelvale,AR,9583.0,18.0
"['corner_lot', 'fireplace', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more']",530000.0,2.0,0.0,2.0,4.0,single_family,72207,-92.343271,34.768719,Little Rock,AR,7841.0,86.0
['garage_1_or_more'],76000.0,0.0,0.0,0.0,4.0,land,72223,-92.3836391761658,34.73952522279793,Little Rock,AR,5663.0,55.0
"['carport', 'community_outdoor_space', 'den_or_office', 'hardwood_floors', 'laundry_room', 'single_story', 'beautiful_backyard', 'library', 'community_center']",159900.0,2.0,0.0,1.0,3.0,single_family,72202,-92.28592,34.741524,Little Rock,AR,11326.0,59.0
"['carport', 'community_outdoor_space', 'community_security_features', 'fireplace', 'hardwood_floors', 'two_or_more_stories', 'gourmet_kitchen', 'shopping']",980000.0,4.0,0.0,2.0,4.0,single_family,72207,-92.33378,34.770779,Little Rock,AR,6970.0,9.0
"['community_outdoor_space', 'fireplace', 'hardwood_floors', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'fenced_yard']",259900.0,2.0,2.0,2.0,3.0,single_family,72223,-92.419368,34.790459,Little Rock,AR,11326.0,44.0
"['community_golf', 'community_park', 'community_tennis_court', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'tennis_court', 'two_or_more_stories', 'groundscare']",570000.0,3.0,0.0,3.0,4.0,single_family,72205,-92.317265,34.757546,Little Rock,AR,5227.0,98.0
"['community_clubhouse', 'community_outdoor_space', 'community_park', 'community_tennis_court', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'tennis_court', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'community_swimming_pool', 'playground', 'tennis', 'trails', 'lake']",417000.0,3.0,2.0,2.0,4.0,single_family,72211,-92.414595,34.762832,Little Rock,AR,17860.0,43.0
"['community_outdoor_space', 'community_park', 'community_security_features', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'spa_or_hot_tub', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'vaulted_ceiling', 'library', 'efficient', 'playground', 'shopping']",396500.0,3.0,2.0,2.0,4.0,single_family,72223,-92.490714,34.804707,Little Rock,AR,8712.0,25.0
"['community_outdoor_space', 'community_park', 'community_tennis_court', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'tennis_court', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'community_swimming_pool', 'private_backyard', 'clubhouse', 'playground', 'golf_course', 'tennis', 'volleyball', 'trails']",150000.0,3.0,2.0,2.0,4.0,single_family,72210,-92.436121,34.659456,Little Rock,AR,2124.0,48.0
"['two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'shopping']",9000.0,2.0,2.0,2.0,4.0,single_family,72209,-92.335586,34.67242,Little Rock,AR,9148.0,56.0
"['community_outdoor_space', 'fireplace', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'shopping']",255000.0,2.0,2.0,2.0,3.0,single_family,72212,-92.402968,34.798415,Little Rock,AR,16117.0,55.0
"['carport', 'single_story']",63500.0,1.0,0.0,1.0,2.0,single_family,72204,-92.324525,34.742189,Little Rock,AR,6970.0,75.0
"['city_view', 'river_view', 'view', 'water_view', 'garage_1_or_more']",453990.0,0.0,0.0,0.0,4.0,land,72223,-92.3836391761658,34.73952522279793,Little Rock,AR,534481.0,55.0
"['community_outdoor_space', 'community_security_features', 'fireplace', 'hardwood_floors', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'open_kitchen', 'vaulted_ceiling', 'smart_homes', 'new_roof']",455000.0,2.0,2.0,1.0,3.0,single_family,72223,-92.457665,34.800187,Little Rock,AR,9148.0,19.0
"['community_outdoor_space', 'community_security_features', 'fireplace', 'recreation_facilities', 'spa_or_hot_tub', 'single_story', 'garage_1_or_more', 'big_yard', 'fenced_yard', 'master_bedroom']",222000.0,2.0,0.0,1.0,3.0,single_family,72210,-92.426583,34.664575,Little Rock,AR,8276.0,22.0
"['carport', 'community_outdoor_space', 'corner_lot', 'hardwood_floors', 'single_story', 'updated_kitchen', 'front_porch', 'shopping']",379000.0,2.0,0.0,1.0,3.0,single_family,72205,-92.325963,34.761795,Little Rock,AR,6098.0,103.0
"['community_clubhouse', 'community_outdoor_space', 'community_park', 'community_tennis_court', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",190000.0,3.0,2.0,2.0,3.0,single_family,72210,-92.433815,34.657293,Little Rock,AR,2660.0,49.0
"['carport', 'community_outdoor_space', 'single_story', 'fenced_yard']",48500.0,1.0,0.0,1.0,2.0,single_family,72204,-92.364733,34.716234,Little Rock,AR,6534.0,55.0
"['community_outdoor_space', 'hardwood_floors', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'open_floor_plan', 'floor_plan', 'investment_opportunity']",175000.0,2.0,1.0,2.0,3.0,single_family,72211,-92.400332,34.749207,Little Rock,AR,9583.0,64.0
"['community_park', 'recreation_facilities', 'swimming_pool', 'garage_1_or_more', 'corner_lot', 'big_lot']",107500.0,0.0,0.0,0.0,4.0,land,72223,-92.481706,34.772842,Little Rock,AR,23522.0,55.0
"['carport', 'single_story', 'new_roof']",103000.0,2.0,0.0,1.0,3.0,single_family,72209,-92.328484,34.701833,Little Rock,AR,10454.0,56.0
"['community_outdoor_space', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'vaulted_ceiling', 'floor_plan', 'master_suite', 'ensuite']",236500.0,2.0,2.0,1.0,3.0,single_family,72211,-92.410482,34.741377,Little Rock,AR,8712.0,33.0
"['community_outdoor_space', 'fireplace', 'hardwood_floors', 'single_story', 'modern_kitchen', 'large_kitchen', 'big_yard']",225000.0,2.0,0.0,1.0,4.0,single_family,72205,-92.379411,34.755695,Little Rock,AR,8712.0,56.0
"['community_outdoor_space', 'corner_lot', 'fireplace', 'hardwood_floors', 'two_or_more_stories', 'guest_parking', 'rental_property', 'shopping']",100000.0,2.0,0.0,2.0,2.0,townhomes,72211,-92.399841,34.758465,Little Rock,AR,1054.0,44.0
"['hardwood_floors', 'two_or_more_stories', 'rental_property']",325000.0,0.0,0.0,2.0,5.0,multi_family,72206,-92.29413,34.725859,Little Rock,AR,8276.0,95.0
"['community_outdoor_space', 'fireplace', 'single_story']",258000.0,2.0,0.0,1.0,4.0,single_family,72212,-92.409228,34.789568,Little Rock,AR,14375.0,47.0
"['community_outdoor_space', 'hardwood_floors', 'recreation_facilities', 'basement', 'two_or_more_stories']",39900.0,1.0,0.0,2.0,3.0,single_family,72206,-92.285366,34.729216,Little Rock,AR,6970.0,105.0
"['carport', 'hardwood_floors', 'single_story', 'fenced_yard', 'rental_property', 'new_roof', 'shopping', 'fixer_upper']",75000.0,2.0,0.0,1.0,3.0,single_family,72209,-92.328324,34.680246,Little Rock,AR,6534.0,61.0
"['community_outdoor_space', 'community_security_features', 'corner_lot', 'cul_de_sac', 'energy_efficient', 'fireplace', 'hardwood_floors', 'spa_or_hot_tub', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'coffer_ceiling', 'storm_shelter', 'master_suite', 'rental_property', 'big_lot', 'smart_homes', 'shopping']",615000.0,4.0,3.0,1.0,4.0,single_family,72210,-92.594155,34.760516,Little Rock,AR,131987.0,11.0
"['community_outdoor_space', 'community_park', 'community_tennis_court', 'fireplace', 'hardwood_floors', 'lake_view', 'recreation_facilities', 'tennis_court', 'view', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'community_swimming_pool', 'basement', 'big_yard', 'new_roof', 'shopping']",388000.0,3.0,2.0,2.0,4.0,single_family,72211,-92.438521,34.759195,Little Rock,AR,10019.0,19.0
"['community_outdoor_space', 'energy_efficient', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen', 'exposed_brick']",1150000.0,5.0,2.0,2.0,5.0,single_family,72207,-92.337833,34.777397,Little Rock,AR,6098.0,10.0
"['community_park', 'community_tennis_court', 'hardwood_floors', 'recreation_facilities', 'tennis_court', 'single_story', 'tennis']",305000.0,2.0,0.0,1.0,3.0,single_family,72207,-92.344303,34.779791,Little Rock,AR,7405.0,82.0
"['carport', 'hardwood_floors', 'single_story', 'rental_property']",56000.0,1.0,0.0,1.0,2.0,single_family,72209,-92.329713,34.70221,Little Rock,AR,8276.0,59.0
"['single_story', 'garage_1_or_more', 'garage_2_or_more', 'investment_opportunity']",75000.0,2.0,2.0,1.0,3.0,single_family,72204,-92.363116,34.731835,Little Rock,AR,8712.0,52.0
"['community_outdoor_space', 'community_security_features', 'single_story', 'garage_1_or_more', 'fenced_yard', 'master_bathroom', 'master_bedroom']",148000.0,2.0,1.0,1.0,3.0,single_family,72002,-92.41478,34.627914,Alexander,AR,9583.0,36.0
"['city_view', 'horse_facilities', 'view', 'garage_1_or_more', 'single_story', 'big_lot']",105000.0,0.0,0.0,0.0,4.0,land,72206,-92.306594,34.573022,Little Rock,AR,87120.0,55.0
"['central_air', 'community_outdoor_space', 'dishwasher', 'forced_air', 'washer_dryer', 'swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'solar_system']",445000.0,2.0,2.0,1.0,3.0,single_family,85353,-112.249825,33.417118,Tolleson,AZ,5663.0,14.0
"['cul_de_sac', 'medicalcare']",410000.0,0.0,0.0,0.0,4.0,land,85016,-112.042435,33.481536,Phoenix,AZ,6843.0,45.0
"['community_clubhouse', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'family_room', 'fireplace', 'hardwood_floors', 'hill_or_mountain_view', 'recreation_facilities', 'view', 'community_swimming_pool', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'waterfront', 'modern_kitchen', 'outdoor_kitchen', 'smart_homes', 'groundscare']",1206000.0,5.0,3.0,2.0,5.0,single_family,85086,-112.103195,33.851101,Phoenix,AZ,12197.0,22.0
